                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 2.0181,                 2.5364,                 2.0468,                0.26821,                0.26772,                0.21959,                0.09271,                 1.9706,                  2.417,                 2.0704,             0.00053844,             0.00053844,             0.00053844
                     26,                 2.0167,                  2.518,                 2.0423,                0.32817,                0.29606,                 0.2432,                0.10169,                 1.9859,                 2.3859,                 2.0682,              0.0005075,              0.0005075,              0.0005075
                     27,                 1.9997,                 2.5006,                 2.0304,                0.32624,                0.30044,                0.25243,                0.10606,                  1.969,                 2.3454,                 2.0685,             0.00047656,             0.00047656,             0.00047656
                     28,                 1.9713,                 2.4472,                  2.024,                0.33962,                0.31435,                0.26825,                0.11418,                 1.9415,                 2.3403,                 2.0414,             0.00044563,             0.00044563,             0.00044563
                     29,                 1.9863,                 2.4611,                 2.0259,                 0.3261,                0.32255,                0.26894,                0.11438,                 1.9308,                 2.3004,                 2.0328,             0.00041469,             0.00041469,             0.00041469
                     30,                 1.9828,                 2.4572,                  2.015,                0.34694,                0.31242,                 0.2712,                0.11488,                 1.9254,                 2.2958,                 2.0366,             0.00038375,             0.00038375,             0.00038375
                     31,                 1.9918,                 2.4864,                 2.0717,                0.35606,                0.32321,                0.27797,                0.11835,                 1.9167,                  2.282,                 2.0168,             0.00035281,             0.00035281,             0.00035281
                     32,                 1.9744,                 2.4285,                 2.0453,                 0.3674,                 0.3408,                0.29962,                0.12668,                 1.8974,                 2.2533,                 2.0042,             0.00032188,             0.00032188,             0.00032188
                     33,                 1.9524,                 2.3851,                 2.0233,                0.37452,                0.34005,                0.30161,                0.13139,                 1.8808,                 2.1936,                 1.9799,             0.00029094,             0.00029094,             0.00029094
                     34,                 1.9406,                  2.354,                 2.0195,                0.37249,                0.35233,                0.30995,                0.13465,                 1.8637,                  2.203,                  1.971,                0.00026,                0.00026,                0.00026
                     35,                 1.9248,                 2.3263,                 2.0152,                 0.3743,                0.35773,                0.31741,                0.14056,                 1.8462,                 2.1569,                 1.9698,             0.00022906,             0.00022906,             0.00022906
                     36,                 1.9199,                 2.3134,                 2.0077,                0.39099,                0.36833,                 0.3292,                0.14765,                   1.83,                 2.1428,                 1.9449,             0.00019813,             0.00019813,             0.00019813
                     37,                 1.8936,                 2.2748,                 1.9822,                0.41997,                 0.3591,                0.33648,                0.15126,                 1.8335,                 2.1292,                 1.9514,             0.00016719,             0.00016719,             0.00016719
                     38,                 1.9012,                 2.2834,                 1.9955,                0.41546,                0.37254,                0.34285,                0.15526,                 1.8151,                  2.099,                  1.935,             0.00013625,             0.00013625,             0.00013625
                     39,                  1.892,                 2.2664,                 1.9884,                0.40471,                0.37721,                0.34448,                0.15654,                 1.8207,                 2.0943,                 1.9304,             0.00010531,             0.00010531,             0.00010531
                     40,                 1.8891,                 2.2709,                 1.9733,                0.42103,                0.38531,                0.35988,                0.16246,                 1.8071,                 2.0616,                 1.9208,             7.4375e-05,             7.4375e-05,             7.4375e-05
