                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7275,                 4.8285,                 3.8761,                0.00095,                0.17231,                0.00705,                 0.0018,                 3.6182,                 4.5993,                 3.6306,             0.00041456,             0.00041456,             0.00041456
                      2,                 3.4036,                 4.2854,                 3.2922,                0.75346,                0.02183,                0.00445,                0.00118,                 3.1281,                 4.0875,                 3.1964,             0.00081066,             0.00081066,             0.00081066
                      3,                 3.0072,                  3.868,                 2.9602,                0.51131,                0.13224,                0.01079,                0.00311,                 2.9603,                 4.0527,                 3.0674,              0.0011861,              0.0011861,              0.0011861
                      4,                  2.781,                 3.6703,                 2.7867,                0.30481,                 0.0955,                0.02551,                0.00732,                 2.7214,                 4.2509,                 2.8174,              0.0011572,              0.0011572,              0.0011572
                      5,                 2.6797,                 3.5452,                 2.7003,                0.34474,                0.09526,                0.03492,                0.01123,                 2.6314,                 3.8623,                  2.694,              0.0011572,              0.0011572,              0.0011572
                      6,                 2.5742,                 3.4296,                 2.5803,                0.25079,                0.09129,                 0.0416,                 0.0127,                 2.6004,                 3.4538,                 2.6803,              0.0011263,              0.0011263,              0.0011263
                      7,                    2.5,                 3.2999,                 2.4885,                0.20195,                0.12788,                0.06277,                 0.0205,                 2.4815,                 3.1422,                 2.5415,              0.0010953,              0.0010953,              0.0010953
                      8,                 2.4193,                  3.185,                 2.4327,                0.81302,                 0.0644,                0.06887,                  0.023,                 2.4444,                 3.4791,                 2.5481,              0.0010644,              0.0010644,              0.0010644
                      9,                 2.3769,                 3.1483,                 2.3982,                0.15544,                0.17101,                0.07544,                0.02563,                 2.3809,                 3.3128,                 2.4686,              0.0010334,              0.0010334,              0.0010334
                     10,                  2.335,                  3.041,                  2.342,                0.38791,                0.10286,                0.09042,                0.03175,                  2.343,                  3.096,                 2.4436,              0.0010025,              0.0010025,              0.0010025
                     11,                 2.2918,                 2.9987,                 2.3056,                0.30291,                0.15073,                0.09549,                0.03251,                 2.3149,                 2.9791,                 2.4106,             0.00097156,             0.00097156,             0.00097156
                     12,                  2.253,                   2.94,                 2.2741,                0.17499,                0.18951,                0.10909,                0.04101,                  2.247,                 2.8625,                 2.3401,             0.00094062,             0.00094062,             0.00094062
                     13,                 2.2464,                 2.9095,                 2.2481,                 0.2599,                0.12755,                0.11337,                0.04373,                 2.2518,                 2.8855,                 2.3458,             0.00090969,             0.00090969,             0.00090969
                     14,                 2.2266,                 2.8768,                 2.2312,                0.21488,                 0.2007,                0.13403,                0.04896,                  2.207,                 2.8305,                 2.2826,             0.00087875,             0.00087875,             0.00087875
                     15,                 2.1881,                  2.823,                 2.1918,                0.20595,                  0.192,                0.13646,                0.05164,                 2.1848,                   2.73,                  2.237,             0.00084781,             0.00084781,             0.00084781
                     16,                  2.183,                 2.7686,                  2.181,                0.20834,                0.18333,                0.13661,                0.05136,                  2.184,                 2.7392,                 2.2803,             0.00081688,             0.00081688,             0.00081688
                     17,                 2.1689,                 2.7783,                 2.1732,                0.27034,                0.21659,                0.17812,                0.06931,                 2.1458,                 2.6215,                 2.2264,             0.00078594,             0.00078594,             0.00078594
                     18,                 2.1351,                 2.7115,                 2.1472,                0.25597,                0.22306,                0.16586,                0.06509,                  2.131,                  2.601,                 2.1835,               0.000755,               0.000755,               0.000755
                     19,                 2.1048,                 2.6915,                 2.1167,                0.23697,                0.24684,                0.17053,                 0.0676,                  2.079,                 2.6467,                 2.1637,             0.00072406,             0.00072406,             0.00072406
                     20,                 2.0776,                  2.638,                  2.106,                0.28265,                 0.2247,                0.18514,                0.07352,                 2.0661,                 2.5477,                 2.1574,             0.00069313,             0.00069313,             0.00069313
                     21,                  2.092,                 2.6667,                 2.1154,                0.19376,                0.20434,                 0.1731,                0.06851,                  2.098,                 2.6344,                 2.1996,             0.00066219,             0.00066219,             0.00066219
                     22,                 2.0589,                 2.6129,                 2.0844,                0.24876,                0.26023,                0.19891,                0.07983,                 2.0674,                 2.5028,                 2.1537,             0.00063125,             0.00063125,             0.00063125
                     23,                 2.0439,                 2.5727,                 2.0653,                0.28649,                0.28994,                0.22184,                0.09321,                 1.9984,                  2.484,                 2.0843,             0.00060031,             0.00060031,             0.00060031
                     24,                 2.0329,                  2.565,                 2.0586,                0.29328,                0.28876,                0.24164,                0.10081,                 1.9704,                 2.3935,                 2.0727,             0.00056938,             0.00056938,             0.00056938
