                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4501,                 3.0531,                 2.1886,                0.12639,                0.12005,                0.07707,                 0.0241,                 2.3477,                 2.8141,                 2.2775,               0.000854,               0.000854,               0.000854
                     35,                 2.4634,                 3.0061,                 2.1834,                0.22669,                0.13928,                0.10052,                0.03122,                 2.2628,                 2.8213,                 2.2154,             0.00084162,             0.00084162,             0.00084162
                     36,                 2.4075,                 3.0309,                 2.1468,                0.16214,                0.17181,                0.09483,                 0.0305,                 2.2727,                 2.8167,                 2.2267,             0.00082925,             0.00082925,             0.00082925
                     37,                  2.446,                 2.9196,                 2.1543,                0.17423,                0.15079,                0.09801,                0.03205,                 2.2615,                 2.8058,                 2.2184,             0.00081688,             0.00081688,             0.00081688
                     38,                 2.4886,                  2.896,                 2.1788,                0.19007,                0.16484,                0.10195,                0.03379,                 2.2722,                 2.7241,                 2.2439,              0.0008045,              0.0008045,              0.0008045
                     39,                 2.4337,                 2.9238,                 2.1507,                0.16747,                0.14525,                  0.099,                0.03173,                 2.2479,                 2.7196,                 2.2252,             0.00079213,             0.00079213,             0.00079213
                     40,                 2.4076,                 2.9776,                 2.1317,                0.22162,                0.16418,                0.10771,                0.03476,                 2.2503,                 2.7521,                 2.2041,             0.00077975,             0.00077975,             0.00077975
                     41,                 2.4178,                 2.9154,                 2.1393,                0.23464,                0.15921,                0.11496,                0.03671,                 2.2369,                 2.7041,                 2.1948,             0.00076738,             0.00076738,             0.00076738
                     42,                  2.422,                 2.9279,                 2.1513,                0.27986,                0.21813,                0.10667,                0.03447,                  2.246,                 3.0324,                 2.2339,               0.000755,               0.000755,               0.000755
                     43,                 2.3979,                  2.964,                  2.148,                0.24185,                  0.135,                0.10695,                0.03321,                 2.2899,                 2.7279,                 2.2295,             0.00074263,             0.00074263,             0.00074263
                     44,                 2.3841,                 2.8936,                 2.1297,                0.21061,                0.19723,                0.11687,                0.03822,                 2.2024,                 2.6538,                 2.1791,             0.00073025,             0.00073025,             0.00073025
                     45,                  2.379,                 2.9045,                 2.1382,                0.19275,                0.19961,                0.12159,                 0.0381,                 2.2658,                 2.6936,                 2.2786,             0.00071788,             0.00071788,             0.00071788
                     46,                 2.3598,                 2.8752,                   2.13,                0.21642,                0.16536,                0.12842,                0.04144,                  2.186,                 2.6121,                 2.1813,              0.0007055,              0.0007055,              0.0007055
                     47,                 2.3514,                 2.8102,                  2.114,                0.18878,                0.18586,                0.11408,                0.03763,                 2.1785,                 2.6582,                 2.1799,             0.00069313,             0.00069313,             0.00069313
                     48,                 2.3408,                 2.8161,                 2.1041,                0.19649,                0.18627,                 0.1275,                0.04121,                 2.2064,                 2.6632,                 2.2192,             0.00068075,             0.00068075,             0.00068075
                     49,                  2.394,                 2.8774,                 2.1267,                0.23319,                 0.1816,                0.13153,                0.04257,                 2.1813,                 2.6919,                 2.1687,             0.00066838,             0.00066838,             0.00066838
                     50,                 2.3534,                 2.8083,                 2.0864,                0.22556,                0.19376,                0.14115,                0.04706,                 2.1511,                 2.5683,                 2.1494,               0.000656,               0.000656,               0.000656
                     51,                 2.3676,                 2.8094,                 2.1069,                0.24074,                0.22012,                0.14787,                0.04872,                 2.1568,                 2.5635,                 2.1461,             0.00064362,             0.00064362,             0.00064362
                     52,                 2.2975,                 2.8426,                 2.0615,                0.22284,                  0.193,                0.13523,                0.04445,                 2.1848,                 2.6003,                 2.1559,             0.00063125,             0.00063125,             0.00063125
                     53,                 2.3063,                  2.722,                 2.0838,                0.20477,                0.23236,                0.13161,                0.04341,                  2.132,                 2.5881,                 2.1108,             0.00061887,             0.00061887,             0.00061887
                     54,                 2.2723,                 2.7193,                  2.056,                0.20477,                 0.2109,                  0.142,                0.04603,                  2.111,                 2.6467,                 2.1151,              0.0006065,              0.0006065,              0.0006065
                     55,                 2.3024,                 2.7633,                 2.0789,                0.23815,                0.19155,                0.14522,                0.04913,                 2.1151,                 2.5417,                 2.1334,             0.00059413,             0.00059413,             0.00059413
                     56,                 2.2749,                 2.7797,                 2.0665,                0.22547,                0.20948,                0.14247,                0.04695,                 2.1169,                 2.5565,                   2.13,             0.00058175,             0.00058175,             0.00058175
                     57,                 2.2916,                  2.705,                 2.0659,                0.23671,                0.20534,                0.14874,                0.05085,                 2.1157,                 2.5038,                 2.1127,             0.00056938,             0.00056938,             0.00056938
                     58,                 2.2728,                 2.7491,                  2.065,                0.22688,                0.19872,                0.14927,                0.05286,                 2.1043,                 2.5205,                 2.0969,               0.000557,               0.000557,               0.000557
                     59,                 2.3037,                 2.7147,                 2.0389,                0.24933,                0.23618,                0.17012,                0.05742,                 2.1027,                 2.4857,                 2.0994,             0.00054463,             0.00054463,             0.00054463
                     60,                 2.2504,                 2.6494,                 2.0387,                 0.2589,                0.23512,                0.16057,                 0.0549,                 2.0911,                 2.5728,                 2.1043,             0.00053225,             0.00053225,             0.00053225
                     61,                  2.234,                 2.6949,                 2.0341,                0.23619,                0.23037,                0.16722,                 0.0556,                 2.1003,                 2.4805,                  2.089,             0.00051988,             0.00051988,             0.00051988
                     62,                 2.2408,                 2.6719,                 2.0335,                0.23339,                0.22829,                0.15718,                0.05475,                 2.0951,                 2.4825,                 2.1152,              0.0005075,              0.0005075,              0.0005075
                     63,                  2.237,                 2.6784,                 2.0477,                0.22595,                0.25892,                0.17198,                0.05885,                 2.0807,                 2.5216,                 2.0784,             0.00049513,             0.00049513,             0.00049513
                     64,                 2.1961,                 2.6651,                 2.0189,                0.25833,                0.23594,                0.17727,                0.06281,                  2.068,                 2.4786,                  2.078,             0.00048275,             0.00048275,             0.00048275
                     65,                 2.2534,                 2.6751,                 2.0318,                0.24357,                0.24695,                0.17692,                0.06252,                 2.0532,                 2.4352,                 2.0605,             0.00047038,             0.00047038,             0.00047038
                     66,                 2.2355,                 2.6671,                 2.0221,                0.26084,                0.25792,                0.18148,                0.06421,                 2.1171,                 2.4733,                 2.1243,               0.000458,               0.000458,               0.000458
                     67,                 2.2436,                 2.6219,                 2.0247,                0.26059,                0.24547,                0.18412,                0.06487,                 2.0741,                 2.4105,                 2.0939,             0.00044563,             0.00044563,             0.00044563
                     68,                 2.2318,                 2.6473,                 2.0166,                0.24844,                0.26157,                0.17383,                0.06266,                 2.0649,                 2.4251,                 2.0777,             0.00043325,             0.00043325,             0.00043325
                     69,                 2.1848,                  2.589,                 1.9817,                0.25817,                0.25755,                0.19702,                0.07296,                 2.0327,                  2.397,                 2.0385,             0.00042087,             0.00042087,             0.00042087
                     70,                 2.2273,                 2.5657,                 2.0148,                0.26098,                0.28942,                0.18117,                0.06677,                 2.0533,                 2.4183,                 2.0634,              0.0004085,              0.0004085,              0.0004085
                     71,                 2.2062,                 2.6165,                 1.9955,                0.24806,                 0.2749,                0.18557,                0.06637,                 2.0244,                  2.366,                 2.0445,             0.00039613,             0.00039613,             0.00039613
                     72,                 2.2029,                 2.5814,                 1.9893,                 0.2359,                0.24635,                0.18093,                  0.065,                 2.0288,                 2.3853,                 2.0494,             0.00038375,             0.00038375,             0.00038375
                     73,                 2.1968,                 2.6082,                 1.9945,                0.24972,                0.27509,                 0.1902,                0.06845,                 2.0242,                  2.346,                 2.0368,             0.00037138,             0.00037138,             0.00037138
                     74,                 2.1404,                 2.5612,                 1.9779,                0.25281,                0.29821,                0.19788,                0.07285,                 2.0105,                 2.3662,                 2.0336,               0.000359,               0.000359,               0.000359
                     75,                 2.1744,                 2.5488,                 1.9651,                0.24533,                   0.28,                0.19282,                0.06948,                 2.0368,                 2.3677,                 2.0477,             0.00034663,             0.00034663,             0.00034663
                     76,                 2.1801,                 2.5414,                  1.967,                0.28856,                0.29057,                0.21877,                0.08038,                 1.9876,                 2.3442,                 2.0162,             0.00033425,             0.00033425,             0.00033425
